Ocupação	Tempo	E[N]	E[W]	Erro de Little
30200	0,834207	4,301452	0,85965	1,32891E-09
30300	0,834385	4,303257	0,859845	1,41799E-09
30400	0,834688	4,313729	0,861866	1,42799E-09
30500	0,834482	4,309269	0,86108	1,29324E-09
30600	0,834479	4,306286	0,860335	1,43377E-09
30700	0,834422	4,303696	0,859881	1,50521E-09
30800	0,834327	4,298443	0,858923	1,20879E-09
30900	0,834358	4,29754	0,858868	1,26965E-09
31000	0,834363	4,298499	0,859011	9,7233E-10
31100	0,83421	4,29664	0,858705	1,02018E-09
31200	0,834347	4,297449	0,858868	1,01259E-09
31300	0,834373	4,297466	0,858948	1,16697E-09
31400	0,834399	4,297737	0,85907	1,28486E-09
31500	0,834289	4,294022	0,858286	1,42235E-09
31600	0,834258	4,293271	0,858111	1,5536E-09
31700	0,834197	4,293109	0,858117	1,5093E-09
31800	0,834174	4,300387	0,859675	1,41904E-09
31900	0,834336	4,297419	0,859057	1,2342E-09
32000	0,834178	4,292348	0,858184	1,28747E-09
32100	0,834128	4,294062	0,858646	1,18241E-09
32200	0,834085	4,290044	0,857801	1,12224E-09
32300	0,834132	4,289981	0,857743	1,09913E-09
32400	0,834406	4,291795	0,858112	1,11188E-09
32500	0,834439	4,29045	0,857767	9,35169E-10
32600	0,834623	4,29386	0,858472	1,10729E-09
32700	0,83455	4,290276	0,857765	1,17195E-09
32800	0,8345	4,289818	0,857612	9,15433E-10
32900	0,834527	4,289425	0,857509	8,79695E-10
33000	0,83465	4,294144	0,858381	8,63261E-10
33100	0,834632	4,290048	0,857651	8,4075E-10
33200	0,834515	4,287141	0,857132	6,10219E-10
33300	0,83455	4,284652	0,856686	5,66489E-10
33400	0,834584	4,282409	0,856219	6,70402E-10
33500	0,834591	4,279586	0,855766	7,70414E-10
33600	0,834793	4,28051	0,855751	9,20006E-10
33700	0,834721	4,279123	0,855519	1,14826E-09
33800	0,834563	4,275467	0,85498	9,16105E-10
33900	0,834417	4,274505	0,854834	9,34259E-10
34000	0,834401	4,276035	0,855271	9,90909E-10
34100	0,834413	4,275352	0,85516	9,82003E-10
34200	0,834534	4,275949	0,85514	1,24934E-09
34300	0,834434	4,273915	0,854971	1,34665E-09
34400	0,834496	4,271109	0,854254	1,37228E-09
34500	0,834577	4,2703	0,854122	1,49009E-09
34600	0,834387	4,266008	0,853275	1,53944E-09
34700	0,834546	4,26731	0,853512	1,55883E-09
34800	0,834585	4,266519	0,853233	1,70715E-09
34900	0,834639	4,264633	0,852902	1,62753E-09
35000	0,834511	4,262736	0,852464	1,8032E-09
35100	0,834365	4,258809	0,85179	1,83142E-09
35200	0,834273	4,257048	0,851467	1,89611E-09
35300	0,834248	4,254845	0,851093	1,78481E-09
35400	0,834061	4,251699	0,850702	1,81873E-09
35500	0,833952	4,252717	0,850828	1,79694E-09
35600	0,833935	4,252358	0,850924	1,80957E-09
35700	0,833834	4,247565	0,849957	1,75955E-09
35800	0,833694	4,243447	0,849087	1,75768E-09
35900	0,833604	4,240258	0,848471	1,56925E-09
36000	0,833686	4,237993	0,847935	1,66766E-09
100	0,933112	12,530609	2,541186	5,32907E-14
